tasks,metric,delta_mean,delta_sd,ci_lower,ci_upper,ci_width,ci_width_vs_8tasks,analytic_sqrt_scaling,verdict_margin_0.10
80,M1.opportunity_multiset,-0.390554,0.014714,-0.419482,-0.361943,0.057539,0.3186,0.3162,rejected
80,M1.opportunity_sequence,-0.357455,0.016225,-0.390328,-0.326263,0.064065,0.3137,0.3162,rejected
80,M2.strengths,-0.156951,0.008326,-0.173895,-0.141188,0.032707,0.3265,0.3162,rejected
80,M2.opportunities,-0.098343,0.007127,-0.112831,-0.085038,0.027793,0.3153,0.3162,inconclusive
80,M2.areas_of_concern,-0.215402,0.01435,-0.24413,-0.18803,0.0561,0.3067,0.3162,rejected
80,M2.recommendations,-0.045375,0.004213,-0.054085,-0.037306,0.016779,0.324,0.3162,demonstrated
80,M3.summary,-0.094393,0.003658,-0.101434,-0.087108,0.014326,0.3206,0.3162,inconclusive
100,M1.technical_craft,-0.224238,0.019552,-0.262727,-0.186851,0.075876,0.286,0.2828,rejected
100,M1.execution_excellence,-0.256594,0.017722,-0.291457,-0.221926,0.069531,0.2838,0.2828,rejected
100,M1.customer_centric_outcomes,-0.085446,0.015025,-0.115606,-0.056344,0.059262,0.2885,0.2828,inconclusive
100,M1.accelerating_teams,-0.111154,0.016435,-0.145016,-0.080028,0.064989,0.2854,0.2828,inconclusive
100,M1.opportunity_multiset,-0.390281,0.013161,-0.416687,-0.365252,0.051435,0.2848,0.2828,rejected
100,M1.opportunity_sequence,-0.356897,0.0147,-0.387171,-0.328403,0.058768,0.2877,0.2828,rejected
100,M2.strengths,-0.157199,0.007194,-0.171042,-0.143126,0.027915,0.2786,0.2828,rejected
100,M2.opportunities,-0.098263,0.006305,-0.110701,-0.085807,0.024894,0.2825,0.2828,inconclusive
100,M2.areas_of_concern,-0.215341,0.012861,-0.240275,-0.190366,0.04991,0.2728,0.2828,rejected
100,M2.recommendations,-0.04542,0.003781,-0.053049,-0.038215,0.014834,0.2864,0.2828,demonstrated
100,M3.summary,-0.094448,0.003361,-0.100902,-0.087811,0.01309,0.2929,0.2828,inconclusive
