incumbent,candidate,metric,incumbent_reps,within_pairs_per_cell,cross_pairs_per_cell,w_a_mean,w_a_sd,c_ab_mean,delta_mean,delta_sd,ci_lower,ci_upper,ci_width,verdict_ci_margin_0.10,modal_replicate_class,replicate_class_stability,p_class_flip_from_sampling
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.execution_excellence,6,15,30,0.645522,0.126684,0.565764,-0.079758,0.162937,-0.41501,0.221328,0.636338,inconclusive,rejected,0.566,0.434
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.customer_centric_outcomes,6,15,30,0.727983,0.123194,0.613342,-0.114641,0.138083,-0.386348,0.14805,0.534397,inconclusive,rejected,0.6042,0.3958
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.accelerating_teams,6,15,30,0.844578,0.105023,0.70845,-0.136128,0.118962,-0.381832,0.074616,0.456447,inconclusive,rejected,0.6065,0.3935
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_multiset,6,15,30,0.57056,0.126465,0.485058,-0.085502,0.106095,-0.298612,0.1154,0.414012,inconclusive,within_margin,0.5373,0.4627
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_sequence,6,15,30,0.505377,0.141408,0.424215,-0.081161,0.102784,-0.28501,0.114025,0.399035,inconclusive,within_margin,0.547,0.453
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.strengths,6,15,30,0.205356,0.060739,0.115748,-0.089608,0.06245,-0.223436,0.018906,0.242343,inconclusive,within_margin,0.5915,0.4085
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.opportunities,6,15,30,0.08812,0.046929,0.055364,-0.032755,0.051265,-0.154912,0.039808,0.19472,inconclusive,within_margin,0.8912,0.1088
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.areas_of_concern,6,15,30,0.087792,0.054367,0.039823,-0.047969,0.065516,-0.188889,0.072255,0.261144,inconclusive,within_margin,0.7975,0.2025
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.recommendations,6,15,30,0.056637,0.048115,0.006608,-0.050029,0.04848,-0.169725,0.008336,0.178062,inconclusive,within_margin,0.8515,0.1485
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M3.summary,6,15,30,0.754983,0.02726,0.716926,-0.038057,0.029231,-0.096609,0.017477,0.114085,demonstrated,within_margin,0.98,0.02
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.technical_craft,8,28,40,0.687962,0.117878,0.591341,-0.096621,0.154217,-0.413595,0.177265,0.59086,inconclusive,rejected,0.5717,0.4283
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.execution_excellence,8,28,40,0.646655,0.118165,0.566636,-0.080019,0.157502,-0.410473,0.208592,0.619065,inconclusive,rejected,0.5533,0.4467
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.customer_centric_outcomes,8,28,40,0.727755,0.118949,0.613307,-0.114448,0.138658,-0.395439,0.150313,0.545753,inconclusive,rejected,0.5873,0.4127
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.accelerating_teams,8,28,40,0.840132,0.097757,0.707519,-0.132613,0.112401,-0.372191,0.065906,0.438097,inconclusive,rejected,0.6008,0.3992
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_multiset,8,28,40,0.569588,0.123943,0.485617,-0.083971,0.097897,-0.28312,0.097308,0.380428,inconclusive,within_margin,0.5505,0.4495
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_sequence,8,28,40,0.504715,0.14027,0.424078,-0.080638,0.096031,-0.278506,0.096659,0.375165,inconclusive,within_margin,0.5633,0.4367
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.strengths,8,28,40,0.204044,0.059469,0.115335,-0.08871,0.060305,-0.220973,0.011808,0.232781,inconclusive,within_margin,0.6112,0.3888
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.opportunities,8,28,40,0.086838,0.0427,0.054924,-0.031915,0.047586,-0.14325,0.037551,0.180801,inconclusive,within_margin,0.9133,0.0867
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.areas_of_concern,8,28,40,0.085302,0.048337,0.039864,-0.045438,0.059906,-0.172419,0.0666,0.239019,inconclusive,within_margin,0.833,0.167
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.recommendations,8,28,40,0.055421,0.044815,0.006616,-0.048805,0.045117,-0.158996,0.007077,0.166074,inconclusive,within_margin,0.8722,0.1278
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M3.summary,8,28,40,0.755532,0.024604,0.716883,-0.038649,0.027525,-0.09255,0.013796,0.106347,demonstrated,within_margin,0.9858,0.0142
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.technical_craft,10,45,50,0.689038,0.114637,0.592964,-0.096074,0.152976,-0.40823,0.176801,0.585031,inconclusive,rejected,0.5743,0.4257
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.execution_excellence,10,45,50,0.648951,0.117398,0.565492,-0.083459,0.157375,-0.416453,0.200332,0.616785,inconclusive,rejected,0.5745,0.4255
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.customer_centric_outcomes,10,45,50,0.728922,0.113654,0.613762,-0.115161,0.132115,-0.383223,0.129346,0.512569,inconclusive,rejected,0.5873,0.4127
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.accelerating_teams,10,45,50,0.83927,0.096473,0.706519,-0.132751,0.115871,-0.383838,0.065579,0.449417,inconclusive,rejected,0.5845,0.4155
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_multiset,10,45,50,0.567244,0.119157,0.483684,-0.083561,0.093837,-0.271964,0.09358,0.365544,inconclusive,within_margin,0.5573,0.4427
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_sequence,10,45,50,0.503283,0.136153,0.422766,-0.080517,0.09267,-0.265815,0.094928,0.360743,inconclusive,within_margin,0.5607,0.4393
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.strengths,10,45,50,0.205713,0.057522,0.115747,-0.089967,0.05794,-0.212741,0.010912,0.223653,inconclusive,within_margin,0.598,0.402
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.opportunities,10,45,50,0.088001,0.039821,0.054837,-0.033164,0.044537,-0.137124,0.031757,0.168881,inconclusive,within_margin,0.9203,0.0797
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.areas_of_concern,10,45,50,0.087462,0.045002,0.039145,-0.048317,0.057798,-0.167236,0.062397,0.229633,inconclusive,within_margin,0.8207,0.1793
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.recommendations,10,45,50,0.056629,0.041977,0.006674,-0.049955,0.042047,-0.152144,0.004287,0.15643,inconclusive,within_margin,0.874,0.126
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M3.summary,10,45,50,0.755307,0.023805,0.716645,-0.038663,0.026796,-0.093977,0.011263,0.10524,demonstrated,within_margin,0.985,0.015
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.technical_craft,12,66,60,0.686231,0.113021,0.591033,-0.095198,0.148417,-0.407013,0.168008,0.575021,inconclusive,rejected,0.565,0.435
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.execution_excellence,12,66,60,0.650675,0.114227,0.566092,-0.084582,0.157883,-0.405527,0.203766,0.609292,inconclusive,rejected,0.5597,0.4403
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.customer_centric_outcomes,12,66,60,0.728192,0.111978,0.612924,-0.115268,0.131526,-0.385497,0.128537,0.514034,inconclusive,rejected,0.5847,0.4153
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.accelerating_teams,12,66,60,0.840576,0.092947,0.707847,-0.132729,0.110903,-0.371959,0.054181,0.42614,inconclusive,rejected,0.591,0.409
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_multiset,12,66,60,0.568176,0.115319,0.482322,-0.085854,0.091038,-0.269199,0.092515,0.361715,inconclusive,within_margin,0.5523,0.4477
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M1.opportunity_sequence,12,66,60,0.503398,0.131604,0.421613,-0.081785,0.090615,-0.263165,0.094133,0.357298,inconclusive,within_margin,0.5633,0.4367
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.strengths,12,66,60,0.205641,0.0561,0.11582,-0.089821,0.056218,-0.210112,0.008278,0.21839,inconclusive,within_margin,0.5795,0.4205
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.opportunities,12,66,60,0.088673,0.038749,0.054744,-0.033929,0.043152,-0.133886,0.030586,0.164472,inconclusive,within_margin,0.918,0.082
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.areas_of_concern,12,66,60,0.088044,0.042743,0.038888,-0.049156,0.056035,-0.163906,0.060602,0.224508,inconclusive,within_margin,0.823,0.177
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M2.recommendations,12,66,60,0.057425,0.041008,0.006613,-0.050813,0.040972,-0.147173,0.004346,0.151519,inconclusive,within_margin,0.8758,0.1242
gpt-4o-2024-11-20,amazon.nova-pro-v1-0,M3.summary,12,66,60,0.755818,0.022487,0.716299,-0.039518,0.026504,-0.092397,0.009726,0.102122,demonstrated,within_margin,0.987,0.013
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.technical_craft,5,10,25,0.685725,0.133505,0.538133,-0.147593,0.19217,-0.55556,0.186372,0.741932,inconclusive,rejected,0.6643,0.3357
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.execution_excellence,5,10,25,0.648998,0.135314,0.694492,0.045494,0.119458,-0.224823,0.247067,0.471891,inconclusive,within_margin,0.543,0.457
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.customer_centric_outcomes,5,10,25,0.731261,0.130552,0.566657,-0.164605,0.161438,-0.496493,0.133111,0.629604,inconclusive,rejected,0.6893,0.3107
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.accelerating_teams,5,10,25,0.841852,0.113223,0.778404,-0.063449,0.122902,-0.346939,0.133971,0.480911,inconclusive,within_margin,0.6025,0.3975
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_multiset,5,10,25,0.569062,0.130406,0.031164,-0.537897,0.138072,-0.811323,-0.280756,0.530568,rejected,rejected,0.9998,0.0002
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_sequence,5,10,25,0.503433,0.146007,0.031164,-0.472269,0.151088,-0.773604,-0.1981,0.575504,rejected,rejected,0.9972,0.0028
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.strengths,5,10,25,0.205538,0.065545,0.081713,-0.123824,0.060392,-0.252785,-0.01976,0.233025,inconclusive,rejected,0.6328,0.3672
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.opportunities,5,10,25,0.087839,0.050654,0.038331,-0.049508,0.040222,-0.143641,0.018337,0.161978,inconclusive,within_margin,0.8922,0.1078
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.areas_of_concern,5,10,25,0.086842,0.058714,0.03557,-0.051272,0.049087,-0.164441,0.02861,0.193051,inconclusive,within_margin,0.842,0.158
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.recommendations,5,10,25,0.056527,0.050814,0.030443,-0.026084,0.036907,-0.113488,0.031518,0.145006,inconclusive,within_margin,0.952,0.048
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M3.summary,5,10,25,0.755397,0.028884,0.748494,-0.006903,0.028302,-0.064322,0.04762,0.111942,demonstrated,within_margin,0.9982,0.0018
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.technical_craft,6,15,30,0.680723,0.127005,0.532553,-0.14817,0.186973,-0.531876,0.176706,0.708582,inconclusive,rejected,0.6637,0.3363
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.execution_excellence,6,15,30,0.6507,0.130352,0.692598,0.041898,0.114477,-0.217294,0.236104,0.453399,inconclusive,within_margin,0.5727,0.4273
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.customer_centric_outcomes,6,15,30,0.726847,0.126074,0.563722,-0.163124,0.159749,-0.482365,0.135659,0.618024,inconclusive,rejected,0.6827,0.3173
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.accelerating_teams,6,15,30,0.844192,0.108007,0.779393,-0.064799,0.120542,-0.343787,0.122334,0.466121,inconclusive,within_margin,0.619,0.381
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_multiset,6,15,30,0.565972,0.124916,0.030796,-0.535176,0.133339,-0.802086,-0.28111,0.520977,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_sequence,6,15,30,0.500934,0.139776,0.030796,-0.470138,0.145565,-0.77113,-0.199295,0.571835,rejected,rejected,0.9988,0.0012
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.strengths,6,15,30,0.204466,0.063303,0.081308,-0.123159,0.057872,-0.249691,-0.02356,0.226131,inconclusive,rejected,0.6332,0.3668
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.opportunities,6,15,30,0.088397,0.04622,0.037935,-0.050463,0.035393,-0.132952,0.009895,0.142847,inconclusive,within_margin,0.9143,0.0857
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.areas_of_concern,6,15,30,0.088486,0.053467,0.035054,-0.053432,0.043962,-0.156253,0.016447,0.172701,inconclusive,within_margin,0.857,0.143
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.recommendations,6,15,30,0.056334,0.046884,0.03007,-0.026265,0.032868,-0.107321,0.026751,0.134072,inconclusive,within_margin,0.9663,0.0337
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M3.summary,6,15,30,0.755831,0.027504,0.748735,-0.007096,0.026374,-0.06035,0.044174,0.104524,demonstrated,within_margin,0.999,0.001
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.technical_craft,8,28,40,0.684306,0.117191,0.534213,-0.150093,0.182335,-0.534956,0.160838,0.695794,inconclusive,rejected,0.6603,0.3397
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.execution_excellence,8,28,40,0.646783,0.120913,0.691352,0.044569,0.101375,-0.184715,0.219654,0.404369,inconclusive,within_margin,0.6095,0.3905
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.customer_centric_outcomes,8,28,40,0.726375,0.119186,0.561581,-0.164794,0.158225,-0.4925,0.136426,0.628926,inconclusive,rejected,0.6927,0.3073
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.accelerating_teams,8,28,40,0.84194,0.101629,0.777093,-0.064846,0.119516,-0.340941,0.119177,0.460119,inconclusive,within_margin,0.6178,0.3822
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_multiset,8,28,40,0.567466,0.121876,0.031446,-0.53602,0.130522,-0.798899,-0.29007,0.508829,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_sequence,8,28,40,0.502646,0.138076,0.031446,-0.4712,0.14373,-0.768315,-0.20631,0.562005,rejected,rejected,0.999,0.001
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.strengths,8,28,40,0.205693,0.059384,0.082307,-0.123386,0.0545,-0.242486,-0.030687,0.211799,inconclusive,rejected,0.6342,0.3658
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.opportunities,8,28,40,0.089002,0.042898,0.038577,-0.050424,0.031264,-0.124633,0.003721,0.128354,inconclusive,within_margin,0.9293,0.0707
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.areas_of_concern,8,28,40,0.088548,0.048365,0.035577,-0.05297,0.037563,-0.137292,0.008484,0.145777,inconclusive,within_margin,0.8858,0.1142
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.recommendations,8,28,40,0.057189,0.045049,0.030727,-0.026461,0.029998,-0.097188,0.022677,0.119865,demonstrated,within_margin,0.9788,0.0212
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M3.summary,8,28,40,0.755398,0.024977,0.748649,-0.006749,0.02428,-0.055021,0.040111,0.095131,demonstrated,within_margin,0.9998,0.0002
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.technical_craft,10,45,50,0.683936,0.115662,0.539954,-0.143982,0.177102,-0.529924,0.150857,0.680781,inconclusive,rejected,0.6442,0.3558
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.execution_excellence,10,45,50,0.650122,0.116142,0.692606,0.042484,0.093804,-0.162613,0.206905,0.369517,inconclusive,within_margin,0.644,0.356
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.customer_centric_outcomes,10,45,50,0.727282,0.11672,0.566577,-0.160705,0.153182,-0.475395,0.118817,0.594212,inconclusive,rejected,0.6733,0.3267
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.accelerating_teams,10,45,50,0.840627,0.095468,0.776184,-0.064443,0.117143,-0.342575,0.118273,0.460848,inconclusive,within_margin,0.6325,0.3675
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_multiset,10,45,50,0.567713,0.117923,0.030972,-0.536741,0.126797,-0.798563,-0.298165,0.500398,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_sequence,10,45,50,0.502275,0.134876,0.030972,-0.471303,0.141013,-0.768663,-0.212123,0.55654,rejected,rejected,0.9998,0.0002
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.strengths,10,45,50,0.203369,0.056885,0.08074,-0.122629,0.052678,-0.235691,-0.034424,0.201267,inconclusive,rejected,0.6412,0.3588
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.opportunities,10,45,50,0.087353,0.038901,0.038238,-0.049115,0.028492,-0.113069,0.000441,0.11351,inconclusive,within_margin,0.9523,0.0477
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.areas_of_concern,10,45,50,0.087475,0.044217,0.035291,-0.052184,0.035016,-0.128148,0.007097,0.135245,inconclusive,within_margin,0.9052,0.0948
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.recommendations,10,45,50,0.056482,0.040881,0.030277,-0.026205,0.027611,-0.088512,0.019428,0.10794,demonstrated,within_margin,0.9842,0.0158
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M3.summary,10,45,50,0.755074,0.023432,0.748463,-0.006611,0.02222,-0.050587,0.035629,0.086216,demonstrated,within_margin,1.0,0.0
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.technical_craft,12,66,60,0.685821,0.113503,0.534248,-0.151573,0.175979,-0.522184,0.139968,0.662153,inconclusive,rejected,0.6455,0.3545
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.execution_excellence,12,66,60,0.645619,0.113622,0.688415,0.042796,0.092269,-0.162604,0.202446,0.36505,inconclusive,within_margin,0.6428,0.3572
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.customer_centric_outcomes,12,66,60,0.726739,0.115464,0.565169,-0.16157,0.151907,-0.478549,0.124016,0.602565,inconclusive,rejected,0.6787,0.3213
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.accelerating_teams,12,66,60,0.844164,0.091631,0.779707,-0.064457,0.115198,-0.328822,0.109239,0.438061,inconclusive,within_margin,0.6338,0.3662
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_multiset,12,66,60,0.571154,0.117471,0.030972,-0.540182,0.126877,-0.800605,-0.312168,0.488436,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M1.opportunity_sequence,12,66,60,0.505927,0.135232,0.030972,-0.474955,0.141439,-0.775269,-0.222218,0.553051,rejected,rejected,0.9995,0.0005
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.strengths,12,66,60,0.205093,0.056529,0.081492,-0.123601,0.052455,-0.235843,-0.034109,0.201734,inconclusive,rejected,0.639,0.361
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.opportunities,12,66,60,0.088101,0.038694,0.038033,-0.050068,0.02753,-0.110733,-0.000514,0.110219,inconclusive,within_margin,0.953,0.047
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.areas_of_concern,12,66,60,0.087702,0.042604,0.035067,-0.052635,0.032105,-0.121914,0.003162,0.125076,inconclusive,within_margin,0.9205,0.0795
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M2.recommendations,12,66,60,0.056624,0.041228,0.030242,-0.026381,0.026626,-0.091347,0.017602,0.108948,demonstrated,within_margin,0.9848,0.0152
gpt-4o-2024-11-20,anthropic.claude-sonnet-4-5-20250929-v1-0,M3.summary,12,66,60,0.754819,0.023558,0.74827,-0.00655,0.021622,-0.048409,0.034766,0.083175,demonstrated,within_margin,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.technical_craft,5,10,25,0.683415,0.132012,0.696381,0.012966,0.1205,-0.237756,0.237361,0.475117,inconclusive,within_margin,0.5925,0.4075
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.execution_excellence,5,10,25,0.647741,0.134843,0.567058,-0.080683,0.176288,-0.459497,0.221447,0.680944,inconclusive,rejected,0.58,0.42
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.customer_centric_outcomes,5,10,25,0.727228,0.131466,0.563581,-0.163647,0.175617,-0.534095,0.144586,0.678682,inconclusive,rejected,0.6753,0.3247
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.accelerating_teams,5,10,25,0.841494,0.112183,0.832028,-0.009466,0.098172,-0.233333,0.161424,0.394758,inconclusive,within_margin,0.7245,0.2755
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_multiset,5,10,25,0.567684,0.129494,0.077756,-0.489928,0.125519,-0.737087,-0.251497,0.48559,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_sequence,5,10,25,0.502334,0.144167,0.077756,-0.424578,0.137617,-0.698267,-0.163527,0.53474,rejected,rejected,0.9938,0.0062
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.strengths,5,10,25,0.203648,0.065663,0.007295,-0.196353,0.067523,-0.346786,-0.086847,0.25994,inconclusive,rejected,0.9485,0.0515
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.opportunities,5,10,25,0.087803,0.049949,0.002007,-0.085796,0.05034,-0.210314,-0.016417,0.193897,inconclusive,within_margin,0.673,0.327
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.areas_of_concern,5,10,25,0.087838,0.058476,0.0,-0.087838,0.058476,-0.222222,0.0,0.222222,inconclusive,within_margin,0.6425,0.3575
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.recommendations,5,10,25,0.056359,0.049858,0.001185,-0.055174,0.049968,-0.180254,0.000929,0.181183,inconclusive,within_margin,0.8285,0.1715
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M3.summary,5,10,25,0.755592,0.029019,0.723079,-0.032513,0.028771,-0.089298,0.024666,0.113964,demonstrated,within_margin,0.991,0.009
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.technical_craft,6,15,30,0.684443,0.12791,0.695494,0.011051,0.118486,-0.241636,0.230786,0.472422,inconclusive,within_margin,0.608,0.392
