pipeline,property,candidate,n_oracles,W_A,C_AB_all_reps,oracle_mean,oracle_min,oracle_max,oracle_range,oracle_sd,identity_residual,delta_min,delta_max,delta_range,distinct_verdicts,verdict_fractions
P1,M3.summary,gpt-5.4-2026-03-05,8,0.735152,0.697901,0.697952,0.687622,0.708472,0.02085,0.006588,5.1144e-05,-0.04753,-0.02668,0.02085,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.technical_execution,gemini-2.5-pro,8,0.884638,0.785283,0.785308,0.76625,0.797881,0.031631,0.010863,2.5348e-05,-0.118388,-0.086757,0.031631,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.delivery_consistency,gemini-2.5-pro,8,0.853855,0.783393,0.783484,0.767917,0.802917,0.035,0.012809,9.143e-05,-0.085938,-0.050938,0.035,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.collaboration,gemini-2.5-pro,8,0.831441,0.735208,0.735477,0.703333,0.775,0.071667,0.022459,0.000268362,-0.128108,-0.056441,0.071667,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.impact,gemini-2.5-pro,8,0.690974,0.340119,0.340353,0.305,0.369492,0.064492,0.022064,0.00023406,-0.385974,-0.321482,0.064492,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_multiset,gemini-2.5-pro,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_sequence,gemini-2.5-pro,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.strengths,gemini-2.5-pro,8,0.104677,0.048692,0.048735,0.034889,0.057782,0.022894,0.007535,4.2999e-05,-0.069788,-0.046895,0.022894,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.opportunities,gemini-2.5-pro,8,0.123477,0.062962,0.063083,0.052333,0.074595,0.022262,0.00812,0.000121427,-0.071144,-0.048882,0.022262,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.risks,gemini-2.5-pro,8,0.0395,0.017763,0.017501,0.005,0.039444,0.034444,0.010745,0.00026172,-0.0345,-5.6e-05,0.034444,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.recommendations,gemini-2.5-pro,8,0.090826,0.050096,0.050096,0.042504,0.062429,0.019925,0.007125,0.0,-0.048322,-0.028397,0.019925,1,"{""no_declared_tolerance"": 1.0}"
P1,M3.summary,gemini-2.5-pro,8,0.735152,0.681846,0.681842,0.671916,0.691065,0.019149,0.005918,4.086e-06,-0.063236,-0.044087,0.019149,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.technical_execution,amazon.nova-pro-v1-0,8,0.884638,0.786726,0.786441,0.773333,0.8,0.026667,0.008507,0.000285513,-0.111305,-0.084638,0.026667,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.delivery_consistency,amazon.nova-pro-v1-0,8,0.853855,0.74994,0.749866,0.735,0.791667,0.056667,0.021331,7.4657e-05,-0.118855,-0.062188,0.056667,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.collaboration,amazon.nova-pro-v1-0,8,0.831441,0.517083,0.517755,0.498333,0.54125,0.042917,0.017111,0.000671787,-0.333108,-0.290191,0.042917,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.impact,amazon.nova-pro-v1-0,8,0.690974,0.498006,0.497913,0.455,0.528333,0.073333,0.025491,9.2817e-05,-0.235974,-0.162641,0.073333,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_multiset,amazon.nova-pro-v1-0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_sequence,amazon.nova-pro-v1-0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.strengths,amazon.nova-pro-v1-0,8,0.104677,0.061677,0.061783,0.053167,0.072655,0.019489,0.007051,0.000106722,-0.05151,-0.032022,0.019489,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.opportunities,amazon.nova-pro-v1-0,8,0.123477,0.100858,0.10094,0.086389,0.113056,0.026667,0.009584,8.1601e-05,-0.037088,-0.010421,0.026667,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.risks,amazon.nova-pro-v1-0,8,0.0395,0.01874,0.018736,0.009444,0.033889,0.024444,0.009338,4.204e-06,-0.030056,-0.005611,0.024444,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.recommendations,amazon.nova-pro-v1-0,8,0.090826,0.078612,0.078612,0.0665,0.095333,0.028833,0.00929,0.0,-0.024326,0.004507,0.028833,1,"{""no_declared_tolerance"": 1.0}"
P1,M3.summary,amazon.nova-pro-v1-0,8,0.735152,0.709913,0.7099,0.701661,0.714653,0.012992,0.003797,1.309e-05,-0.033491,-0.020499,0.012992,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.technical_execution,meta.llama4-maverick-17b-instruct-v1-0,8,0.884638,0.90506,0.904993,0.886667,0.923333,0.036667,0.013068,6.6586e-05,0.002029,0.038695,0.036667,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.delivery_consistency,meta.llama4-maverick-17b-instruct-v1-0,8,0.853855,0.752671,0.753048,0.7325,0.779167,0.046667,0.01728,0.000377068,-0.121355,-0.074688,0.046667,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.collaboration,meta.llama4-maverick-17b-instruct-v1-0,8,0.831441,0.688958,0.689606,0.665417,0.711017,0.0456,0.01431,0.000647952,-0.166024,-0.120424,0.0456,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.impact,meta.llama4-maverick-17b-instruct-v1-0,8,0.690974,0.558854,0.558864,0.51625,0.604661,0.088411,0.031716,9.71e-06,-0.174724,-0.086313,0.088411,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_multiset,meta.llama4-maverick-17b-instruct-v1-0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M1.opportunity_sequence,meta.llama4-maverick-17b-instruct-v1-0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.strengths,meta.llama4-maverick-17b-instruct-v1-0,8,0.104677,0.044826,0.044944,0.028056,0.060556,0.0325,0.011176,0.000117114,-0.076621,-0.044121,0.0325,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.opportunities,meta.llama4-maverick-17b-instruct-v1-0,8,0.123477,0.080605,0.080544,0.060278,0.101389,0.041111,0.013099,6.1373e-05,-0.063199,-0.022088,0.041111,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.risks,meta.llama4-maverick-17b-instruct-v1-0,8,0.0395,0.007969,0.008008,0.0,0.018644,0.018644,0.005157,3.8842e-05,-0.0395,-0.020856,0.018644,1,"{""no_declared_tolerance"": 1.0}"
P1,M2.recommendations,meta.llama4-maverick-17b-instruct-v1-0,8,0.090826,0.019448,0.019448,0.014556,0.025556,0.011,0.004705,0.0,-0.07627,-0.06527,0.011,1,"{""no_declared_tolerance"": 1.0}"
P1,M3.summary,meta.llama4-maverick-17b-instruct-v1-0,8,0.735152,0.638897,0.638902,0.633213,0.645431,0.012218,0.003863,4.75e-06,-0.101939,-0.089721,0.012218,1,"{""no_declared_tolerance"": 1.0}"
P2,label_agreement,gpt-5.4-2026-03-05,8,0.928571,0.86375,0.86375,0.84,0.89,0.05,0.019876,0.0,-0.088571,-0.038571,0.05,2,"{""within_tolerance"": 0.375, ""worse_than_tolerance"": 0.625}"
P2,cited_span_set_agreement,gpt-5.4-2026-03-05,8,0.855972,0.649057,0.649057,0.611556,0.667611,0.056056,0.019709,0.0,-0.244416,-0.188361,0.056056,1,"{""worse_than_tolerance"": 1.0}"
P2,extracted_span_set_agreement,gpt-5.4-2026-03-05,8,0.853304,0.62854,0.62854,0.593333,0.658278,0.064944,0.0202,0.0,-0.259971,-0.195026,0.064944,1,"{""worse_than_tolerance"": 1.0}"
P2,label_agreement,gemini-2.5-pro,8,0.928571,0.805,0.805,0.783333,0.823333,0.04,0.014029,0.0,-0.145238,-0.105238,0.04,1,"{""worse_than_tolerance"": 1.0}"
P2,cited_span_set_agreement,gemini-2.5-pro,8,0.855972,0.65044,0.65044,0.618278,0.685944,0.067667,0.023129,0.0,-0.237694,-0.170028,0.067667,1,"{""worse_than_tolerance"": 1.0}"
P2,extracted_span_set_agreement,gemini-2.5-pro,8,0.853304,0.633038,0.633038,0.599056,0.663278,0.064222,0.024547,0.0,-0.254248,-0.190026,0.064222,1,"{""worse_than_tolerance"": 1.0}"
P2,label_agreement,amazon.nova-pro-v1-0,8,0.928571,0.832083,0.832083,0.82,0.85,0.03,0.00991,0.0,-0.108571,-0.078571,0.03,1,"{""worse_than_tolerance"": 1.0}"
P2,cited_span_set_agreement,amazon.nova-pro-v1-0,8,0.855972,0.573757,0.573757,0.551111,0.609444,0.058333,0.022951,0.0,-0.304861,-0.246528,0.058333,1,"{""worse_than_tolerance"": 1.0}"
P2,extracted_span_set_agreement,amazon.nova-pro-v1-0,8,0.853304,0.701014,0.701014,0.678833,0.7375,0.058667,0.023445,0.0,-0.174471,-0.115804,0.058667,1,"{""worse_than_tolerance"": 1.0}"
P2,label_agreement,meta.llama4-maverick-17b-instruct-v1-0,8,0.928571,0.799583,0.799583,0.78,0.82,0.04,0.014632,0.0,-0.148571,-0.108571,0.04,1,"{""worse_than_tolerance"": 1.0}"
P2,cited_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,8,0.855972,0.452903,0.452903,0.441333,0.473333,0.032,0.013375,0.0,-0.414639,-0.382639,0.032,1,"{""worse_than_tolerance"": 1.0}"
P2,extracted_span_set_agreement,meta.llama4-maverick-17b-instruct-v1-0,8,0.853304,0.531653,0.531653,0.506889,0.556833,0.049944,0.016845,0.0,-0.346415,-0.296471,0.049944,1,"{""worse_than_tolerance"": 1.0}"
